level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	720	1600	-1	
2	1	1	0	0	0	37	25	277	25	-1	
3	1	1	1	0	0	37	25	277	25	-1	
4	1	1	1	1	0	37	25	277	25	-1	
5	1	1	1	1	1	37	28	59	18	96.721077	12:23
5	1	1	1	1	2	105	28	3	21	89.792236	|
5	1	1	1	1	3	116	28	98	22	89.792236	48,7KB/s
5	1	1	1	1	4	221	25	29	25	71.160133	Z
5	1	1	1	1	5	261	28	22	19	84.508240	4
5	1	1	1	1	6	296	26	18	21	64.168053	O
2	1	2	0	0	0	590	27	87	22	-1	
3	1	2	1	0	0	590	27	87	22	-1	
4	1	2	1	1	0	590	27	87	22	-1	
5	1	2	1	1	1	590	27	87	22	66.156250	Zw
2	1	3	0	0	0	0	56	684	23	-1	
3	1	3	1	0	0	0	56	684	23	-1	
4	1	3	1	1	0	0	56	684	23	-1	
5	1	3	1	1	1	0	52	65	39	59.207115	P:0/1
5	1	3	1	1	2	78	56	576	23	0.000000	__dX:00..dV:0.0.Xv:0.0
5	1	3	1	1	3	416	52	160	39	14.327440	Wv:0.0_Prs:0.0
5	1	3	1	1	4	601	52	53	39	30.643314	Size:
5	1	3	1	1	5	660	60	24	15	95.520622	1.0
2	1	4	0	0	0	718	56	2	23	-1	
3	1	4	1	0	0	718	56	2	23	-1	
4	1	4	1	1	0	718	56	2	23	-1	
5	1	4	1	1	1	714	51	4	40	93.852440	|
2	1	5	0	0	0	676	85	7	8	-1	
3	1	5	1	0	0	676	85	7	8	-1	
4	1	5	1	1	0	676	85	7	8	-1	
5	1	5	1	1	1	676	85	7	8	55.271614	.
2	1	6	0	0	0	35	86	32	28	-1	
3	1	6	1	0	0	35	86	32	28	-1	
4	1	6	1	1	0	35	86	32	28	-1	
5	1	6	1	1	1	35	86	32	28	75.031807	<
2	1	7	0	0	0	126	91	43	19	-1	
3	1	7	1	0	0	126	91	43	19	-1	
4	1	7	1	1	0	126	91	43	19	-1	
5	1	7	1	1	1	126	91	43	19	96.194359	sido
2	1	8	0	0	0	500	89	21	22	-1	
3	1	8	1	0	0	500	89	21	22	-1	
4	1	8	1	1	0	500	89	21	22	-1	
5	1	8	1	1	1	500	89	21	22	90.594803	x
2	1	9	0	0	0	590	83	24	34	-1	
3	1	9	1	0	0	590	83	24	34	-1	
4	1	9	1	1	0	590	83	24	34	-1	
5	1	9	1	1	1	590	83	24	34	23.762531	¥
2	1	10	0	0	0	676	96	7	8	-1	
3	1	10	1	0	0	676	96	7	8	-1	
4	1	10	1	1	0	676	96	7	8	-1	
5	1	10	1	1	1	676	96	7	8	14.543686	°
2	1	11	0	0	0	52	191	402	24	-1	
3	1	11	1	0	0	52	191	402	24	-1	
4	1	11	1	1	0	52	191	402	24	-1	
5	1	11	1	1	1	52	196	59	14	96.611008	Weitere
5	1	11	1	1	2	117	196	111	14	96.947639	Informationen
5	1	11	1	1	3	234	200	17	10	96.988167	zu
5	1	11	1	1	4	257	196	51	14	96.951416	diesen
5	1	11	1	1	5	315	196	96	17	95.810394	Ergebnissen
5	1	11	1	1	6	430	191	24	24	94.763817	(i)
2	1	12	0	0	0	56	461	23	18	-1	
3	1	12	1	0	0	56	461	23	18	-1	
4	1	12	1	1	0	56	461	23	18	-1	
5	1	12	1	1	1	56	461	23	18	33.097870	+
2	1	13	0	0	0	72	445	37	19	-1	
3	1	13	1	0	0	72	445	37	19	-1	
4	1	13	1	1	0	72	445	37	19	-1	
5	1	13	1	1	1	72	445	37	19	30.737705	a
2	1	14	0	0	0	177	433	110	30	-1	
3	1	14	1	0	0	177	433	110	30	-1	
4	1	14	1	1	0	177	433	110	30	-1	
5	1	14	1	1	1	177	434	69	28	93.079338	Sido
5	1	14	1	1	2	258	433	29	30	90.138290	&
2	1	15	0	0	0	177	475	49	18	-1	
3	1	15	1	0	0	177	475	49	18	-1	
4	1	15	1	1	0	177	475	49	18	-1	
5	1	15	1	1	1	177	475	49	18	91.274979	@sido
2	1	16	0	0	0	52	484	11	18	-1	
3	1	16	1	0	0	52	484	11	18	-1	
4	1	16	1	1	0	52	484	11	18	-1	
5	1	16	1	1	1	52	484	11	18	61.154182	¢
2	1	17	0	0	0	177	503	267	16	-1	
